Designator,Mid X,Mid Y,Rotation,Layer
A1,118.815,-77.385,180.0,top
C1,120.977651,-67.815,180.0,top
C10,127.075,-118.565,0.0,top
C11,159.175,-113.065,0.0,top
C12,117.375,-115.615,0.0,top
C13,149.669888,-96.015,0.0,top
C14,141.325,-113.465,0.0,top
C15,131.225,-96.065,0.0,top
C16,121.825,-96.265,270.0,top
C17,143.225,-66.415,180.0,top
C18,142.575,-89.115,90.0,top
C19,132.525,-90.265,0.0,top
C2,158.5,-64.3,0.0,top
C20,139.075,-88.665,270.0,top
C21,150.925,-89.215,90.0,top
C22,147.225,-88.715,270.0,top
C24,107.975,-122.662349,270.0,top
C25,158.775,-146.515,180.0,top
C26,116.677651,-87.265,180.0,top
C27,140.675002,-150.765,90.0,top
C3,149.575002,-159.165,270.0,top
C37,149.719888,-102.565,0.0,top
C38,143.830113,-101.665,180.0,top
C4,143.575002,-159.115,270.0,top
C5,159.075,-140.767651,90.0,top
C6,116.775,-123.115,180.0,top
C7,131.275,-82.165,90.0,top
C8,128.225,-129.905,90.0,top
C9,120.375,-129.865,90.0,top
D1,145.925,-58.115,270.0,top
D10,133.685,-108.815,0.0,top
D11,133.685,-111.465,180.0,top
D2,152.775,-57.265,0.0,top
D3,148.925002,-151.365,0.0,top
D4,148.925002,-153.865,180.0,top
D5,123.925,-101.015,0.0,top
D6,123.925,-103.615,180.0,top
D7,123.925,-107.265,0.0,top
D8,123.925,-109.815,0.0,top
D9,123.925,-112.365,180.0,top
J1,132.375,-64.115,180.0,top
J2,149.83,-126.375,0.0,top
J3,117.66,-146.835,180.0,top
Q1,141.945,-61.33,0.0,top
Q14,144.1,-95.965,90.0,top
Q18,147.035,-147.38,270.0,top
Q3,127.045,-123.53,0.0,top
Q4,123.99,-130.895,90.0,top
Q5,151.85,-147.445,270.0,top
R1,152.825,-54.515,0.0,top
R10,133.685,-114.715,0.0,top
R11,117.375,-131.805,90.0,top
R12,114.325,-131.845,270.0,top
R13,108.325,-131.855,270.0,top
R14,105.325,-131.855,90.0,top
R15,111.325,-131.855,90.0,top
R16,153.125,-111.275,270.0,top
R17,117.025,-108.605,270.0,top
R18,130.325,-102.705,90.0,top
R19,133.375,-102.705,90.0,top
R2,135.690002,-161.475,0.0,top
R20,154.275,-73.865,270.0,top
R21,114.135,-101.465,0.0,top
R22,132.825,-73.415,270.0,top
R23,129.675,-73.415,90.0,top
R24,139.175,-80.565,0.0,top
R25,139.185,-83.615,0.0,top
R26,148.935,-80.565,0.0,top
R27,153.955,-90.055,270.0,top
R28,148.935,-83.615,0.0,top
R29,116.375,-118.615,0.0,top
R3,149.925,-139.065,0.0,top
R30,139.825,-106.015,0.0,top
R31,150.025,-111.355,270.0,top
R32,138.975,-97.155,90.0,top
R33,146.975,-111.355,270.0,top
R34,108.675,-115.715,180.0,top
R4,142.475,-141.365,90.0,top
R48,149.925,-142.115,180.0,top
R49,158.835002,-155.465,0.0,top
R5,158.825002,-149.465,0.0,top
R50,135.685002,-158.465,0.0,top
R51,151.7,-63.45,270.0,top
R52,148.7,-63.45,90.0,top
R6,158.825002,-152.465,180.0,top
R7,124.825,-135.155,180.0,top
R73,154.025,-99.865,90.0,top
R8,122.775,-121.205,90.0,top
R9,139.325,-141.365,90.0,top
RV1,158.475,-104.865,180.0,top
RV2,158.475,-74.865,180.0,top
RV3,158.475,-84.865,180.0,top
U1,109.76,-108.805,90.0,top
U2,143.545,-73.775,270.0,top
VR3,158.475,-94.865,180.0,top
